ID,VERSIONID,PARENT,ORGANIZATIONID,PARENTORG,NAME,CUSTLEVEL,ACTIVEUNTIL,Count,__PowerAppsId__
14470,268,OrgAtSites,12030,0,Abbeyfeale,0,20210301,0,
14479,268,OrgAtSites,11200,0,Acambéro,0,20210301,0,
14480,268,OrgAtSites,11200,0,Baoding,0,20210301,0,
14488,268,OrgAtSites,11200,0,Barcelona R&D Office,0,20210301,0,
14491,268,OrgAtSites,11200,0,Bellmerei,0,20210301,0,
14496,268,OrgAtSites,11200,0,Business Services Center,0,20210301,0,
14497,268,Sites,11200,0,Cerhovice,0,20210301,0,
14506,268,Sites,11200,0,Changchun,0,20210301,0,
14507,268,Sites,11200,0,Cravinhos,0,20210301,0,
14514,268,Sites,11200,0,Cravinhos Office,0,20210301,0,
14516,268,Sites,11200,0,Dortmund,0,20210301,0,
14524,268,Sites,11200,0,Dresden,0,20210301,0,
14527,268,Organizations,11200,0,Dudarkiv (Borispol),0,20210301,0,
14531,268,Organizations,11200,0,Fasai,0,20200801,0,
14535,268,Organizations,10015,0,Freiburg,0,20200801,0,
14541,268,Organizations,10015,0,Goldthorpe,0,20210901,0,
